2025-11-07T21:58:00.558Z - info:   [20516] AzureReposVSCode/1.161.0 (VSCode 1.105.1; Windows_NT 10.0.26200; Node 22.19.0)
2025-11-07T21:58:00.559Z - debug:  [20516] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-07T21:58:00.559Z - debug:  [20516] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-07T21:58:00.562Z - debug:  [20516] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-07T21:58:00.563Z - debug:  [20516] TFVC Creating Tfvc object with localPath='undefined'
2025-11-07T21:58:00.564Z - debug:  [20516] Using TFS proxy: 
2025-11-07T21:58:00.565Z - debug:  [20516] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-07T21:58:00.566Z - debug:  [20516] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-07T21:58:00.569Z - debug:  [20516] TFVC Repository.CheckVersion
2025-11-07T21:58:00.571Z - debug:  [20516] TFVC: tf add -noprompt -?
2025-11-07T21:58:00.574Z - error:  [20516] spawn EINVAL
2025-11-09T21:31:09.910Z - info:   [12996] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-09T21:31:09.912Z - info:   [12996] AzureReposVSCode/1.161.0 (VSCode 1.105.1; Windows_NT 10.0.26200; Node 22.19.0)
2025-11-09T21:31:09.917Z - debug:  [12996] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-09T21:31:09.917Z - debug:  [12996] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-09T21:31:09.920Z - debug:  [12996] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-09T21:31:09.921Z - debug:  [12996] TFVC Creating Tfvc object with localPath='undefined'
2025-11-09T21:31:09.922Z - debug:  [12996] Using TFS proxy: 
2025-11-09T21:31:09.923Z - debug:  [12996] TFVC Retrieved from settings; localPath='C:\TEE\TEE-CLC-14.114.0\tf.cmd'
2025-11-09T21:31:09.926Z - debug:  [12996] TFVC Repository created with repositoryRootFolder='c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app'
2025-11-09T21:31:09.928Z - debug:  [12996] TFVC Repository.CheckVersion
2025-11-09T21:31:09.930Z - debug:  [12996] TFVC: tf add -noprompt -?
2025-11-09T21:31:09.936Z - error:  [12996] spawn EINVAL
2025-11-12T21:11:38.340Z - info:   [21116] *** FOLDER: c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app ***
2025-11-12T21:11:38.342Z - info:   [21116] AzureReposVSCode/1.161.0 (VSCode 1.105.1; Windows_NT 10.0.26200; Node 22.19.0)
2025-11-12T21:11:38.343Z - debug:  [21116] Looking for an External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-12T21:11:38.344Z - debug:  [21116] No External Context at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-12T21:11:38.347Z - debug:  [21116] Looking for TFVC repository at c:\Users\aharo\Kosstech\OneDrive - Strategic Integration Technologies\bbsynr\my-real-estate-app
2025-11-12T21:11:38.348Z - debug:  [21116] TFVC Creating Tfvc object with localPath='undefined'
